Rk,Gcar,Gtm,Date,Team,Unnamed: 5,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,SEASON_END,PLAYER_NAME
1,190,1,2023-10-25,TOR,,MIN,"W, 97-94",,24:17,4.0,9.0,.444,0.0,1.0,.000,4.0,8.0,.500,.444,0.0,0.0,,3.0,5.0,8.0,0.0,0.0,0.0,2.0,1.0,8.0,4.5,-5,2024,Precious Achiuwa
2,191,2,2023-10-27,TOR,@,CHI,"L, 103-104 (OT)",,22:38,2.0,5.0,.400,1.0,3.0,.333,1.0,2.0,.500,.500,3.0,3.0,1.000,2.0,7.0,9.0,1.0,0.0,0.0,3.0,6.0,8.0,4.1,-22,2024,Precious Achiuwa
3,192,3,2023-10-28,TOR,,PHI,"L, 107-114",,18:15,3.0,10.0,.300,0.0,1.0,.000,3.0,9.0,.333,.300,0.0,0.0,,3.0,4.0,7.0,3.0,0.0,1.0,1.0,1.0,6.0,4.9,5,2024,Precious Achiuwa
4,193,9,2023-11-11,TOR,@,BOS,"L, 94-117",,18:31,1.0,5.0,.200,0.0,2.0,.000,1.0,3.0,.333,.200,0.0,0.0,,0.0,5.0,5.0,5.0,0.0,0.0,0.0,1.0,2.0,3.5,-12,2024,Precious Achiuwa
5,194,10,2023-11-13,TOR,,WAS,"W, 111-107",,19:16,5.0,8.0,.625,0.0,1.0,.000,5.0,7.0,.714,.625,0.0,0.0,,1.0,3.0,4.0,1.0,1.0,0.0,2.0,1.0,10.0,7.3,8,2024,Precious Achiuwa
6,195,11,2023-11-15,TOR,,MIL,"L, 112-128",,17:19,4.0,7.0,.571,1.0,2.0,.500,3.0,5.0,.600,.643,2.0,2.0,1.000,3.0,1.0,4.0,0.0,0.0,2.0,1.0,3.0,11.0,9.3,-3,2024,Precious Achiuwa
7,196,12,2023-11-17,TOR,,BOS,"L, 105-108",,24:26,2.0,4.0,.500,0.0,2.0,.000,2.0,2.0,1.000,.500,1.0,2.0,.500,0.0,9.0,9.0,1.0,2.0,0.0,1.0,1.0,5.0,6.6,-2,2024,Precious Achiuwa
8,197,13,2023-11-19,TOR,,DET,"W, 142-113",,18:37,5.0,10.0,.500,2.0,4.0,.500,3.0,6.0,.500,.600,0.0,2.0,.000,3.0,3.0,6.0,5.0,0.0,0.0,0.0,1.0,12.0,12.3,17,2024,Precious Achiuwa
9,198,14,2023-11-21,TOR,@,ORL,"L, 107-126",,14:58,2.0,4.0,.500,0.0,1.0,.000,2.0,3.0,.667,.500,1.0,2.0,.500,2.0,4.0,6.0,4.0,1.0,0.0,3.0,3.0,5.0,4.8,-9,2024,Precious Achiuwa
10,199,16,2023-11-24,TOR,,CHI,"W, 121-108",,17:35,3.0,4.0,.750,0.0,0.0,,3.0,4.0,.750,.750,2.0,2.0,1.000,3.0,4.0,7.0,4.0,0.0,3.0,2.0,0.0,8.0,12.6,-2,2024,Precious Achiuwa
11,200,17,2023-11-26,TOR,@,CLE,"L, 102-105",,12:51,1.0,4.0,.250,1.0,2.0,.500,0.0,2.0,.000,.375,1.0,4.0,.250,0.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,4.0,2.7,-15,2024,Precious Achiuwa
12,201,18,2023-11-28,TOR,@,BRK,"L, 103-115",,09:37,0.0,4.0,.000,0.0,2.0,.000,0.0,2.0,.000,.000,1.0,4.0,.250,1.0,2.0,3.0,1.0,1.0,0.0,1.0,3.0,1.0,-2.2,-2,2024,Precious Achiuwa
13,202,19,2023-11-29,TOR,,PHO,"W, 112-105",,18:17,5.0,10.0,.500,1.0,1.0,1.000,4.0,9.0,.444,.550,3.0,4.0,.750,6.0,4.0,10.0,1.0,2.0,0.0,1.0,2.0,14.0,14.9,6,2024,Precious Achiuwa
14,203,20,2023-12-01,TOR,,NYK,"L, 106-119",,17:16,4.0,11.0,.364,0.0,1.0,.000,4.0,10.0,.400,.364,0.0,0.0,,5.0,1.0,6.0,1.0,0.0,0.0,1.0,2.0,8.0,4.6,-22,2024,Precious Achiuwa
15,204,21,2023-12-06,TOR,,MIA,"L, 103-112",,13:25,4.0,7.0,.571,1.0,3.0,.333,3.0,4.0,.750,.643,0.0,0.0,,0.0,3.0,3.0,2.0,1.0,0.0,1.0,0.0,9.0,8.0,-4,2024,Precious Achiuwa
16,205,22,2023-12-08,TOR,@,CHO,"L, 116-119",,21:36,7.0,10.0,.700,3.0,4.0,.750,4.0,6.0,.667,.850,0.0,0.0,,4.0,6.0,10.0,1.0,0.0,0.0,4.0,4.0,17.0,12.5,4,2024,Precious Achiuwa
17,206,23,2023-12-11,TOR,@,NYK,"L, 130-136",,20:52,3.0,8.0,.375,1.0,4.0,.250,2.0,4.0,.500,.438,2.0,2.0,1.000,0.0,5.0,5.0,3.0,1.0,0.0,1.0,4.0,9.0,6.6,-1,2024,Precious Achiuwa
18,207,24,2023-12-13,TOR,,ATL,"W, 135-128",,17:03,2.0,5.0,.400,1.0,3.0,.333,1.0,2.0,.500,.500,2.0,2.0,1.000,1.0,6.0,7.0,1.0,1.0,2.0,2.0,0.0,7.0,7.9,-5,2024,Precious Achiuwa
19,208,25,2023-12-15,TOR,,ATL,"L, 104-125",,17:20,4.0,7.0,.571,0.0,2.0,.000,4.0,5.0,.800,.571,1.0,2.0,.500,0.0,2.0,2.0,5.0,0.0,0.0,0.0,1.0,9.0,9.0,-9,2024,Precious Achiuwa
20,209,26,2023-12-18,TOR,,CHO,"W, 114-99",,17:46,5.0,9.0,.556,0.0,1.0,.000,5.0,8.0,.625,.556,2.0,4.0,.500,5.0,2.0,7.0,1.0,1.0,0.0,0.0,1.0,12.0,12.3,12,2024,Precious Achiuwa
21,210,27,2023-12-20,TOR,,DEN,"L, 104-113",,24:34,6.0,10.0,.600,1.0,2.0,.500,5.0,8.0,.625,.650,0.0,1.0,.000,4.0,1.0,5.0,1.0,1.0,1.0,1.0,2.0,13.0,11.7,6,2024,Precious Achiuwa
22,211,28,2023-12-22,TOR,@,PHI,"L, 111-121",,16:25,2.0,9.0,.222,0.0,2.0,.000,2.0,7.0,.286,.222,0.0,2.0,.000,3.0,3.0,6.0,1.0,2.0,0.0,1.0,2.0,4.0,1.6,-1,2024,Precious Achiuwa
23,212,29,2023-12-23,TOR,,UTA,"L, 119-126",,21:21,3.0,7.0,.429,0.0,3.0,.000,3.0,4.0,.750,.429,2.0,2.0,1.000,1.0,1.0,2.0,1.0,0.0,2.0,0.0,1.0,8.0,7.0,-3,2024,Precious Achiuwa
24,213,30,2023-12-27,TOR,@,WAS,"W, 132-102",,10:33,1.0,2.0,.500,0.0,0.0,,1.0,2.0,.500,.500,1.0,2.0,.500,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,3.0,2.6,5,2024,Precious Achiuwa
25,214,31,2023-12-29,TOR,@,BOS,"L, 118-120",,02:03,0.0,1.0,.000,0.0,0.0,,0.0,1.0,.000,.000,0.0,0.0,,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,1,2024,Precious Achiuwa
26,215,33,2024-01-01,NYK,,MIN,"W, 112-106",,08:34,0.0,2.0,.000,0.0,0.0,,0.0,2.0,.000,.000,0.0,0.0,,1.0,2.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,-0.9,-3,2024,Precious Achiuwa
27,216,34,2024-01-03,NYK,,CHI,"W, 116-100",,11:25,2.0,2.0,1.000,0.0,0.0,,2.0,2.0,1.000,1.000,0.0,0.0,,2.0,1.0,3.0,1.0,0.0,1.0,0.0,2.0,4.0,5.7,-16,2024,Precious Achiuwa
28,217,35,2024-01-05,NYK,@,PHI,"W, 128-92",,12:32,2.0,3.0,.667,1.0,2.0,.500,1.0,1.0,1.000,.833,0.0,0.0,,2.0,1.0,3.0,0.0,0.0,1.0,1.0,0.0,5.0,5.1,10,2024,Precious Achiuwa
29,218,36,2024-01-06,NYK,@,WAS,"W, 121-105",,07:42,1.0,1.0,1.000,0.0,0.0,,1.0,1.0,1.000,1.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.3,-8,2024,Precious Achiuwa
30,219,37,2024-01-09,NYK,,POR,"W, 112-84",,20:08,1.0,9.0,.111,0.0,3.0,.000,1.0,6.0,.167,.111,0.0,0.0,,5.0,4.0,9.0,1.0,1.0,1.0,1.0,0.0,2.0,2.2,-3,2024,Precious Achiuwa
31,220,38,2024-01-11,NYK,@,DAL,"L, 124-128",,15:47,3.0,3.0,1.000,0.0,0.0,,3.0,3.0,1.000,1.000,1.0,2.0,.500,1.0,5.0,6.0,0.0,1.0,0.0,2.0,4.0,7.0,5.3,3,2024,Precious Achiuwa
32,221,39,2024-01-13,NYK,@,MEM,"W, 106-94",,05:53,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.4,5,2024,Precious Achiuwa
33,222,40,2024-01-15,NYK,,ORL,"L, 94-98",,19:30,2.0,4.0,.500,0.0,0.0,,2.0,4.0,.500,.500,2.0,2.0,1.000,3.0,2.0,5.0,1.0,0.0,1.0,1.0,0.0,6.0,7.1,-4,2024,Precious Achiuwa
34,223,41,2024-01-17,NYK,,HOU,"W, 109-94",,06:26,0.0,2.0,.000,0.0,0.0,,0.0,2.0,.000,.000,0.0,0.0,,1.0,3.0,4.0,0.0,0.0,1.0,0.0,3.0,0.0,-0.3,2,2024,Precious Achiuwa
35,224,42,2024-01-18,NYK,,WAS,"W, 113-109",,09:28,1.0,1.0,1.000,0.0,0.0,,1.0,1.0,1.000,1.000,0.0,0.0,,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,2.6,-4,2024,Precious Achiuwa
