Rk,Gcar,Gtm,Date,Team,Unnamed: 5,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,SEASON_END,PLAYER_NAME
55,244,62,2024-03-05,NYK,,ATL,"L, 100-116",*,23:43,7.0,8.0,.875,0.0,0.0,,7.0,8.0,.875,.875,1.0,1.0,1.000,1.0,5.0,6.0,2.0,1.0,1.0,0.0,1.0,15.0,17.1,3,2024,Precious Achiuwa
56,245,63,2024-03-08,NYK,,ORL,"W, 98-74",*,39:25,6.0,16.0,.375,2.0,4.0,.500,4.0,12.0,.333,.438,1.0,2.0,.500,3.0,11.0,14.0,4.0,2.0,5.0,3.0,2.0,15.0,15.7,25,2024,Precious Achiuwa
57,246,64,2024-03-10,NYK,,PHI,"L, 73-79",*,36:05,2.0,8.0,.250,1.0,3.0,.333,1.0,5.0,.200,.313,3.0,4.0,.750,3.0,6.0,9.0,0.0,2.0,3.0,3.0,2.0,8.0,7.0,4,2024,Precious Achiuwa
58,247,65,2024-03-12,NYK,,PHI,"W, 106-79",,23:57,6.0,8.0,.750,0.0,1.0,.000,6.0,7.0,.857,.750,1.0,2.0,.500,3.0,5.0,8.0,1.0,0.0,2.0,4.0,5.0,13.0,9.1,13,2024,Precious Achiuwa
59,248,66,2024-03-14,NYK,@,POR,"W, 105-93",,24:04,2.0,3.0,.667,0.0,0.0,,2.0,3.0,.667,.667,0.0,0.0,,3.0,4.0,7.0,2.0,2.0,0.0,0.0,1.0,4.0,9.0,-5,2024,Precious Achiuwa
60,249,67,2024-03-16,NYK,@,SAC,"W, 98-91",,20:11,1.0,2.0,.500,0.0,0.0,,1.0,2.0,.500,.500,0.0,0.0,,1.0,4.0,5.0,4.0,0.0,1.0,1.0,3.0,2.0,4.2,2,2024,Precious Achiuwa
61,250,68,2024-03-18,NYK,@,GSW,"W, 119-112",,18:14,2.0,4.0,.500,0.0,0.0,,2.0,4.0,.500,.500,2.0,2.0,1.000,5.0,4.0,9.0,1.0,0.0,0.0,1.0,0.0,6.0,8.4,-14,2024,Precious Achiuwa
62,251,69,2024-03-21,NYK,@,DEN,"L, 100-113",,25:23,4.0,5.0,.800,1.0,1.0,1.000,3.0,4.0,.750,.900,0.0,0.0,,0.0,5.0,5.0,3.0,0.0,2.0,0.0,2.0,9.0,11.3,-2,2024,Precious Achiuwa
63,252,70,2024-03-23,NYK,,BRK,"W, 105-93",,07:29,0.0,2.0,.000,0.0,1.0,.000,0.0,1.0,.000,.000,0.0,2.0,.000,2.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.2,-9,2024,Precious Achiuwa
64,253,71,2024-03-25,NYK,,DET,"W, 124-99",,25:50,3.0,5.0,.600,0.0,0.0,,3.0,5.0,.600,.600,3.0,6.0,.500,5.0,11.0,16.0,1.0,1.0,1.0,2.0,2.0,9.0,11.9,3,2024,Precious Achiuwa
65,254,72,2024-03-27,NYK,@,TOR,"W, 145-101",,27:28,8.0,13.0,.615,0.0,1.0,.000,8.0,12.0,.667,.615,3.0,3.0,1.000,6.0,6.0,12.0,3.0,1.0,2.0,3.0,2.0,19.0,19.8,18,2024,Precious Achiuwa
66,255,73,2024-03-29,NYK,@,SAS,"L, 126-130 (OT)",,15:41,3.0,3.0,1.000,0.0,0.0,,3.0,3.0,1.000,1.000,0.0,0.0,,2.0,3.0,5.0,0.0,0.0,1.0,1.0,4.0,6.0,5.5,-30,2024,Precious Achiuwa
67,256,74,2024-03-31,NYK,,OKC,"L, 112-113",,21:57,3.0,5.0,.600,0.0,1.0,.000,3.0,4.0,.750,.600,2.0,4.0,.500,4.0,5.0,9.0,0.0,0.0,2.0,0.0,2.0,8.0,9.8,-13,2024,Precious Achiuwa
68,257,75,2024-04-02,NYK,@,MIA,"L, 99-109",,26:56,1.0,4.0,.250,0.0,0.0,,1.0,4.0,.250,.250,0.0,0.0,,3.0,3.0,6.0,0.0,1.0,0.0,0.0,2.0,2.0,2.8,-9,2024,Precious Achiuwa
69,258,76,2024-04-04,NYK,,SAC,"W, 120-109",,08:49,0.0,2.0,.000,0.0,1.0,.000,0.0,1.0,.000,.000,0.0,0.0,,0.0,3.0,3.0,0.0,0.0,0.0,1.0,3.0,0.0,-2.7,-17,2024,Precious Achiuwa
70,259,77,2024-04-05,NYK,@,CHI,"L, 100-108",,18:34,0.0,2.0,.000,0.0,1.0,.000,0.0,1.0,.000,.000,0.0,0.0,,1.0,3.0,4.0,1.0,1.0,0.0,1.0,4.0,0.0,-0.7,-2,2024,Precious Achiuwa
