Name,Team,Opp,Game_Date,Game_Time,Proj_PTS,Proj_REB,Proj_AST,Total_PRA
Nae'Qwan Tomlin,Cavaliers,Nuggets,2026-02-09,9:00 pm ET,8.24,3.54,1.4,13.18
Dean Wade,Cavaliers,Nuggets,2026-02-09,9:00 pm ET,6.14,4.31,1.19,11.63
Spencer Jones,Nuggets,Cavaliers,2026-02-09,9:00 pm ET,6.33,3.13,0.82,10.29
Larry Nance Jr.,Cavaliers,Nuggets,2026-02-09,9:00 pm ET,0.0,0.0,0.0,0.0
Lonzo Ball,Cavaliers,Nuggets,2026-02-09,9:00 pm ET,0.0,0.0,0.0,0.0
Thomas Bryant,Cavaliers,Nuggets,2026-02-09,9:00 pm ET,0.0,0.0,0.0,0.0
De'Andre Hunter,Cavaliers,Nuggets,2026-02-09,9:00 pm ET,0.0,0.0,0.0,0.0
Keon Ellis,Cavaliers,Nuggets,2026-02-09,9:00 pm ET,0.0,0.0,0.0,0.0
Craig Porter Jr.,Cavaliers,Nuggets,2026-02-09,9:00 pm ET,0.0,0.0,0.0,0.0
Tyrese Proctor,Cavaliers,Nuggets,2026-02-09,9:00 pm ET,0.0,0.0,0.0,0.0
Aaron Gordon,Nuggets,Cavaliers,2026-02-09,9:00 pm ET,0.0,0.0,0.0,0.0
Jamal Murray,Nuggets,Cavaliers,2026-02-09,9:00 pm ET,0.0,0.0,0.0,0.0
Jalen Pickett,Nuggets,Cavaliers,2026-02-09,9:00 pm ET,0.0,0.0,0.0,0.0
Zeke Nnaji,Nuggets,Cavaliers,2026-02-09,9:00 pm ET,0.0,0.0,0.0,0.0
Julian Strawther,Nuggets,Cavaliers,2026-02-09,9:00 pm ET,0.0,0.0,0.0,0.0
Christian Braun,Nuggets,Cavaliers,2026-02-09,9:00 pm ET,0.0,0.0,0.0,0.0
Peyton Watson,Nuggets,Cavaliers,2026-02-09,9:00 pm ET,0.0,0.0,0.0,0.0
DaRon Holmes II,Nuggets,Cavaliers,2026-02-09,9:00 pm ET,0.0,0.0,0.0,0.0
Hunter Tyson,Nuggets,Cavaliers,2026-02-09,9:00 pm ET,0.0,0.0,0.0,0.0
Curtis Jones,Nuggets,Cavaliers,2026-02-09,9:00 pm ET,0.0,0.0,0.0,0.0
