Name,Team,Opp,Game_Date,Game_Time,Proj_PTS,Proj_REB,Proj_AST,Total_PRA
Brice Sensabaugh,Jazz,Heat,2026-02-09,7:30 pm ET,14.31,3.13,2.11,19.55
Nic Claxton,Nets,Bulls,2026-02-09,7:30 pm ET,9.77,5.75,3.53,19.05
Danny Wolf,Nets,Bulls,2026-02-09,7:30 pm ET,10.31,5.37,2.43,18.11
Wendell Carter Jr.,Magic,Bucks,2026-02-09,7:30 pm ET,10.44,5.26,1.7,17.41
AJ Green,Bucks,Magic,2026-02-09,7:30 pm ET,12.03,3.01,2.02,17.06
Patrick Williams,Bulls,Nets,2026-02-09,7:30 pm ET,10.85,3.51,1.74,16.1
Simone Fontecchio,Heat,Jazz,2026-02-09,7:30 pm ET,9.64,4.07,1.9,15.62
Isaac Okoro,Bulls,Nets,2026-02-09,7:30 pm ET,10.89,2.82,1.76,15.47
Collin Sexton,Bulls,Nets,2026-02-09,7:30 pm ET,10.5,1.91,2.53,14.94
Collin Sexton,Nets,Bulls,2026-02-09,7:30 pm ET,10.5,1.91,2.53,14.94
Noah Clowney,Nets,Bulls,2026-02-09,7:30 pm ET,9.18,4.3,1.33,14.82
Jaden Ivey,Bulls,Nets,2026-02-09,7:30 pm ET,9.38,2.85,2.03,14.26
Vince Williams Jr.,Jazz,Heat,2026-02-09,7:30 pm ET,8.36,2.53,2.58,13.47
Pete Nance,Bucks,Magic,2026-02-09,7:30 pm ET,8.06,3.78,1.17,13.0
Cody Williams,Jazz,Heat,2026-02-09,7:30 pm ET,8.41,3.07,1.35,12.83
Walter Clayton Jr.,Jazz,Heat,2026-02-09,7:30 pm ET,7.54,2.06,2.79,12.4
Dru Smith,Heat,Jazz,2026-02-09,7:30 pm ET,5.84,2.84,2.97,11.65
Ryan Kalkbrenner,Nets,Bulls,2026-02-09,7:30 pm ET,6.17,4.64,0.68,11.49
Tristan da Silva,Magic,Bucks,2026-02-09,7:30 pm ET,7.46,2.33,1.48,11.28
Grant Williams,Nets,Bulls,2026-02-09,7:30 pm ET,6.45,3.41,1.13,10.99
Noah Penda,Magic,Bucks,2026-02-09,7:30 pm ET,5.56,2.82,1.12,9.51
Sion James,Nets,Bulls,2026-02-09,7:30 pm ET,4.82,3.24,1.07,9.13
Drake Powell,Nets,Bulls,2026-02-09,7:30 pm ET,6.09,1.63,1.24,8.95
Josh Green,Nets,Bulls,2026-02-09,7:30 pm ET,4.64,1.9,0.97,7.52
Gary Harris,Bucks,Magic,2026-02-09,7:30 pm ET,3.59,2.2,1.38,7.17
Guerschon Yabusele,Bulls,Nets,2026-02-09,7:30 pm ET,0.0,0.0,0.0,0.0
Jevon Carter,Bulls,Nets,2026-02-09,7:30 pm ET,0.0,0.0,0.0,0.0
Kevin Huerter,Bulls,Nets,2026-02-09,7:30 pm ET,0.0,0.0,0.0,0.0
Anfernee Simons,Bulls,Nets,2026-02-09,7:30 pm ET,0.0,0.0,0.0,0.0
Coby White,Bulls,Nets,2026-02-09,7:30 pm ET,0.0,0.0,0.0,0.0
Tre Jones,Bulls,Nets,2026-02-09,7:30 pm ET,0.0,0.0,0.0,0.0
Nick Richards,Bulls,Nets,2026-02-09,7:30 pm ET,0.0,0.0,0.0,0.0
Josh Giddey,Bulls,Nets,2026-02-09,7:30 pm ET,0.0,0.0,0.0,0.0
Dalen Terry,Bulls,Nets,2026-02-09,7:30 pm ET,0.0,0.0,0.0,0.0
Julian Phillips,Bulls,Nets,2026-02-09,7:30 pm ET,0.0,0.0,0.0,0.0
Rob Dillingham,Bulls,Nets,2026-02-09,7:30 pm ET,0.0,0.0,0.0,0.0
Lachlan Olbrich,Bulls,Nets,2026-02-09,7:30 pm ET,0.0,0.0,0.0,0.0
Pat Connaughton,Nets,Bulls,2026-02-09,7:30 pm ET,0.0,0.0,0.0,0.0
Michael Porter Jr.,Nets,Bulls,2026-02-09,7:30 pm ET,0.0,0.0,0.0,0.0
Terance Mann,Nets,Bulls,2026-02-09,7:30 pm ET,0.0,0.0,0.0,0.0
Coby White,Nets,Bulls,2026-02-09,7:30 pm ET,0.0,0.0,0.0,0.0
Ziaire Williams,Nets,Bulls,2026-02-09,7:30 pm ET,0.0,0.0,0.0,0.0
Ochai Agbaji,Nets,Bulls,2026-02-09,7:30 pm ET,0.0,0.0,0.0,0.0
Tre Mann,Nets,Bulls,2026-02-09,7:30 pm ET,0.0,0.0,0.0,0.0
Cam Thomas,Nets,Bulls,2026-02-09,7:30 pm ET,0.0,0.0,0.0,0.0
Jalen Wilson,Nets,Bulls,2026-02-09,7:30 pm ET,0.0,0.0,0.0,0.0
Drew Timme,Nets,Bulls,2026-02-09,7:30 pm ET,0.0,0.0,0.0,0.0
Tyrese Martin,Nets,Bulls,2026-02-09,7:30 pm ET,0.0,0.0,0.0,0.0
Kobe Bufkin,Nets,Bulls,2026-02-09,7:30 pm ET,0.0,0.0,0.0,0.0
Antonio Reeves,Nets,Bulls,2026-02-09,7:30 pm ET,0.0,0.0,0.0,0.0
Tidjane Salaun,Nets,Bulls,2026-02-09,7:30 pm ET,0.0,0.0,0.0,0.0
Nolan Traore,Nets,Bulls,2026-02-09,7:30 pm ET,0.0,0.0,0.0,0.0
Egor Demin,Nets,Bulls,2026-02-09,7:30 pm ET,0.0,0.0,0.0,0.0
Liam McNeeley,Nets,Bulls,2026-02-09,7:30 pm ET,0.0,0.0,0.0,0.0
Ben Saraf,Nets,Bulls,2026-02-09,7:30 pm ET,0.0,0.0,0.0,0.0
Kevin Love,Jazz,Heat,2026-02-09,7:30 pm ET,0.0,0.0,0.0,0.0
Kyle Anderson,Jazz,Heat,2026-02-09,7:30 pm ET,0.0,0.0,0.0,0.0
Jusuf Nurkic,Jazz,Heat,2026-02-09,7:30 pm ET,0.0,0.0,0.0,0.0
Lauri Markkanen,Jazz,Heat,2026-02-09,7:30 pm ET,0.0,0.0,0.0,0.0
Svi Mykhailiuk,Jazz,Heat,2026-02-09,7:30 pm ET,0.0,0.0,0.0,0.0
John Konchar,Jazz,Heat,2026-02-09,7:30 pm ET,0.0,0.0,0.0,0.0
Taylor Hendricks,Jazz,Heat,2026-02-09,7:30 pm ET,0.0,0.0,0.0,0.0
Keyonte George,Jazz,Heat,2026-02-09,7:30 pm ET,0.0,0.0,0.0,0.0
Andrew Wiggins,Heat,Jazz,2026-02-09,7:30 pm ET,0.0,0.0,0.0,0.0
Norman Powell,Heat,Jazz,2026-02-09,7:30 pm ET,0.0,0.0,0.0,0.0
Tyler Herro,Heat,Jazz,2026-02-09,7:30 pm ET,0.0,0.0,0.0,0.0
Precious Achiuwa,Heat,Jazz,2026-02-09,7:30 pm ET,0.0,0.0,0.0,0.0
Davion Mitchell,Heat,Jazz,2026-02-09,7:30 pm ET,0.0,0.0,0.0,0.0
Ethan Thompson,Heat,Jazz,2026-02-09,7:30 pm ET,0.0,0.0,0.0,0.0
Nikola Jovic,Heat,Jazz,2026-02-09,7:30 pm ET,0.0,0.0,0.0,0.0
Pelle Larsson,Heat,Jazz,2026-02-09,7:30 pm ET,0.0,0.0,0.0,0.0
Myron Gardner,Heat,Jazz,2026-02-09,7:30 pm ET,0.0,0.0,0.0,0.0
Kel'el Ware,Heat,Jazz,2026-02-09,7:30 pm ET,0.0,0.0,0.0,0.0
Keshad Johnson,Heat,Jazz,2026-02-09,7:30 pm ET,0.0,0.0,0.0,0.0
Jahmir Young,Heat,Jazz,2026-02-09,7:30 pm ET,0.0,0.0,0.0,0.0
Kasparas Jakucionis,Heat,Jazz,2026-02-09,7:30 pm ET,0.0,0.0,0.0,0.0
Gary Trent Jr.,Bucks,Magic,2026-02-09,7:30 pm ET,0.0,0.0,0.0,0.0
Amir Coffey,Bucks,Magic,2026-02-09,7:30 pm ET,0.0,0.0,0.0,0.0
Cole Anthony,Bucks,Magic,2026-02-09,7:30 pm ET,0.0,0.0,0.0,0.0
Jericho Sims,Bucks,Magic,2026-02-09,7:30 pm ET,0.0,0.0,0.0,0.0
Jamaree Bouyea,Bucks,Magic,2026-02-09,7:30 pm ET,0.0,0.0,0.0,0.0
Ousmane Dieng,Bucks,Magic,2026-02-09,7:30 pm ET,0.0,0.0,0.0,0.0
Andre Jackson Jr.,Bucks,Magic,2026-02-09,7:30 pm ET,0.0,0.0,0.0,0.0
Tyus Jones,Magic,Bucks,2026-02-09,7:30 pm ET,0.0,0.0,0.0,0.0
Jonathan Isaac,Magic,Bucks,2026-02-09,7:30 pm ET,0.0,0.0,0.0,0.0
Jevon Carter,Magic,Bucks,2026-02-09,7:30 pm ET,0.0,0.0,0.0,0.0
Moritz Wagner,Magic,Bucks,2026-02-09,7:30 pm ET,0.0,0.0,0.0,0.0
Goga Bitadze,Magic,Bucks,2026-02-09,7:30 pm ET,0.0,0.0,0.0,0.0
Jett Howard,Magic,Bucks,2026-02-09,7:30 pm ET,0.0,0.0,0.0,0.0
Jase Richardson,Magic,Bucks,2026-02-09,7:30 pm ET,0.0,0.0,0.0,0.0
Anthony Edwards,Timberwolves,Hawks,2026-02-09,8:00 pm ET,29.45,5.98,3.82,39.25
Saddiq Bey,Pelicans,Kings,2026-02-09,8:00 pm ET,22.79,6.3,3.44,32.53
Julius Randle,Timberwolves,Hawks,2026-02-09,8:00 pm ET,21.7,5.17,5.29,32.16
Trey Murphy III,Pelicans,Kings,2026-02-09,8:00 pm ET,22.4,4.19,4.37,30.96
Zion Williamson,Pelicans,Kings,2026-02-09,8:00 pm ET,18.28,7.93,3.53,29.75
Nickeil Alexander-Walker,Hawks,Timberwolves,2026-02-09,8:00 pm ET,19.09,3.32,4.48,26.9
Russell Westbrook,Kings,Pelicans,2026-02-09,8:00 pm ET,18.42,3.02,5.35,26.79
DeMar DeRozan,Kings,Pelicans,2026-02-09,8:00 pm ET,19.17,3.28,3.98,26.43
Naz Reid,Timberwolves,Hawks,2026-02-09,8:00 pm ET,15.51,6.82,2.86,25.19
CJ McCollum,Hawks,Timberwolves,2026-02-09,8:00 pm ET,17.47,3.41,3.2,24.07
Derik Queen,Pelicans,Kings,2026-02-09,8:00 pm ET,11.97,6.39,4.24,22.6
Zach LaVine,Kings,Pelicans,2026-02-09,8:00 pm ET,16.59,3.16,2.5,22.25
Dyson Daniels,Hawks,Timberwolves,2026-02-09,8:00 pm ET,10.89,5.0,5.89,21.78
Jock Landale,Hawks,Timberwolves,2026-02-09,8:00 pm ET,13.02,6.71,1.9,21.63
Rudy Gobert,Timberwolves,Hawks,2026-02-09,8:00 pm ET,10.26,9.93,1.27,21.46
Jaden McDaniels,Timberwolves,Hawks,2026-02-09,8:00 pm ET,15.04,3.36,2.87,21.28
Donte DiVincenzo,Timberwolves,Hawks,2026-02-09,8:00 pm ET,13.43,3.61,3.78,20.82
Dennis Schroder,Kings,Pelicans,2026-02-09,8:00 pm ET,13.06,2.73,3.54,19.34
Malik Monk,Kings,Pelicans,2026-02-09,8:00 pm ET,13.4,2.45,3.09,18.93
Nique Clifford,Kings,Pelicans,2026-02-09,8:00 pm ET,12.49,3.87,2.47,18.84
Maxime Raynaud,Kings,Pelicans,2026-02-09,8:00 pm ET,9.16,6.32,1.05,16.53
Dylan Cardwell,Kings,Pelicans,2026-02-09,8:00 pm ET,6.61,8.02,1.56,16.18
Bones Hyland,Timberwolves,Hawks,2026-02-09,8:00 pm ET,9.93,3.26,2.74,15.93
Corey Kispert,Hawks,Timberwolves,2026-02-09,8:00 pm ET,11.42,2.48,1.94,15.85
Herbert Jones,Pelicans,Kings,2026-02-09,8:00 pm ET,9.61,3.2,2.63,15.44
Jose Alvarado,Pelicans,Kings,2026-02-09,8:00 pm ET,8.49,2.92,2.65,14.06
Jeremiah Fears,Pelicans,Kings,2026-02-09,8:00 pm ET,9.49,2.68,1.88,14.05
Yves Missi,Pelicans,Kings,2026-02-09,8:00 pm ET,6.57,5.8,1.32,13.69
Luke Kennard,Hawks,Timberwolves,2026-02-09,8:00 pm ET,8.07,3.11,1.42,12.59
Mike Conley,Timberwolves,Hawks,2026-02-09,8:00 pm ET,4.66,1.81,1.93,8.4
Karlo Matkovic,Pelicans,Kings,2026-02-09,8:00 pm ET,4.24,3.01,0.8,8.06
Jaylen Clark,Timberwolves,Hawks,2026-02-09,8:00 pm ET,3.63,1.81,0.66,6.1
Kristaps Porzingis,Hawks,Timberwolves,2026-02-09,8:00 pm ET,0.0,0.0,0.0,0.0
Buddy Hield,Hawks,Timberwolves,2026-02-09,8:00 pm ET,0.0,0.0,0.0,0.0
Gabe Vincent,Hawks,Timberwolves,2026-02-09,8:00 pm ET,0.0,0.0,0.0,0.0
Charles Bassey,Hawks,Timberwolves,2026-02-09,8:00 pm ET,0.0,0.0,0.0,0.0
Onyeka Okongwu,Hawks,Timberwolves,2026-02-09,8:00 pm ET,0.0,0.0,0.0,0.0
Vit Krejci,Hawks,Timberwolves,2026-02-09,8:00 pm ET,0.0,0.0,0.0,0.0
Jalen Johnson,Hawks,Timberwolves,2026-02-09,8:00 pm ET,0.0,0.0,0.0,0.0
Christian Koloko,Hawks,Timberwolves,2026-02-09,8:00 pm ET,0.0,0.0,0.0,0.0
Mouhamed Gueye,Hawks,Timberwolves,2026-02-09,8:00 pm ET,0.0,0.0,0.0,0.0
Duop Reath,Hawks,Timberwolves,2026-02-09,8:00 pm ET,0.0,0.0,0.0,0.0
Zaccharie Risacher,Hawks,Timberwolves,2026-02-09,8:00 pm ET,0.0,0.0,0.0,0.0
Asa Newell,Hawks,Timberwolves,2026-02-09,8:00 pm ET,0.0,0.0,0.0,0.0
Johnny Juzang,Timberwolves,Hawks,2026-02-09,8:00 pm ET,0.0,0.0,0.0,0.0
Rob Dillingham,Timberwolves,Hawks,2026-02-09,8:00 pm ET,0.0,0.0,0.0,0.0
Joan Beringer,Timberwolves,Hawks,2026-02-09,8:00 pm ET,0.0,0.0,0.0,0.0
Doug McDermott,Kings,Pelicans,2026-02-09,8:00 pm ET,0.0,0.0,0.0,0.0
Dario Saric,Kings,Pelicans,2026-02-09,8:00 pm ET,0.0,0.0,0.0,0.0
Domantas Sabonis,Kings,Pelicans,2026-02-09,8:00 pm ET,0.0,0.0,0.0,0.0
De'Andre Hunter,Kings,Pelicans,2026-02-09,8:00 pm ET,0.0,0.0,0.0,0.0
Precious Achiuwa,Kings,Pelicans,2026-02-09,8:00 pm ET,0.0,0.0,0.0,0.0
Keegan Murray,Kings,Pelicans,2026-02-09,8:00 pm ET,0.0,0.0,0.0,0.0
Keon Ellis,Kings,Pelicans,2026-02-09,8:00 pm ET,0.0,0.0,0.0,0.0
Daeqwon Plowden,Kings,Pelicans,2026-02-09,8:00 pm ET,0.0,0.0,0.0,0.0
Devin Carter,Kings,Pelicans,2026-02-09,8:00 pm ET,0.0,0.0,0.0,0.0
DeAndre Jordan,Pelicans,Kings,2026-02-09,8:00 pm ET,0.0,0.0,0.0,0.0
Kevon Looney,Pelicans,Kings,2026-02-09,8:00 pm ET,0.0,0.0,0.0,0.0
Jordan Poole,Pelicans,Kings,2026-02-09,8:00 pm ET,0.0,0.0,0.0,0.0
Bryce McGowens,Pelicans,Kings,2026-02-09,8:00 pm ET,0.0,0.0,0.0,0.0
Jordan Hawkins,Pelicans,Kings,2026-02-09,8:00 pm ET,0.0,0.0,0.0,0.0
Micah Peavy,Pelicans,Kings,2026-02-09,8:00 pm ET,0.0,0.0,0.0,0.0
Nikola Jokic,Nuggets,Cavaliers,2026-02-09,9:00 pm ET,26.75,11.02,10.12,47.89
James Harden,Cavaliers,Nuggets,2026-02-09,9:00 pm ET,24.91,4.76,7.71,37.39
Donovan Mitchell,Cavaliers,Nuggets,2026-02-09,9:00 pm ET,27.02,3.82,6.53,37.37
Evan Mobley,Cavaliers,Nuggets,2026-02-09,9:00 pm ET,18.28,8.3,4.17,30.75
Darius Garland,Cavaliers,Nuggets,2026-02-09,9:00 pm ET,19.39,2.33,6.48,28.2
Jaylon Tyson,Cavaliers,Nuggets,2026-02-09,9:00 pm ET,17.0,5.84,3.92,26.76
Jarrett Allen,Cavaliers,Nuggets,2026-02-09,9:00 pm ET,15.97,8.61,2.0,26.59
Jonas Valanciunas,Nuggets,Cavaliers,2026-02-09,9:00 pm ET,10.73,7.57,1.78,20.08
Tim Hardaway Jr.,Nuggets,Cavaliers,2026-02-09,9:00 pm ET,13.45,4.11,1.97,19.53
Dennis Schroder,Cavaliers,Nuggets,2026-02-09,9:00 pm ET,13.06,2.73,3.54,19.34
Cameron Johnson,Nuggets,Cavaliers,2026-02-09,9:00 pm ET,12.02,3.87,2.2,18.09
Bruce Brown,Nuggets,Cavaliers,2026-02-09,9:00 pm ET,10.65,3.68,1.85,16.19
Sam Merrill,Cavaliers,Nuggets,2026-02-09,9:00 pm ET,10.31,2.3,2.0,14.61
