Game_Date,Game_Time,Name,Team,Opp,Proj_PTS,Proj_REB,Proj_AST,Total_PRA,Actual_PTS,Actual_REB,Actual_AST,Actual_PRA
2026-02-10,7:30 pm ET,Ethan Thompson,Pacers,Knicks,0.0,0.0,0.0,0.0,,,,
2026-02-10,7:30 pm ET,Micah Potter,Pacers,Knicks,0.0,0.0,0.0,0.0,,,,
2026-02-10,7:30 pm ET,Bennedict Mathurin,Pacers,Knicks,0.0,0.0,0.0,0.0,,,,
2026-02-10,7:30 pm ET,Quenton Jackson,Pacers,Knicks,0.0,0.0,0.0,0.0,,,,
2026-02-10,7:30 pm ET,Kam Jones,Pacers,Knicks,0.0,0.0,0.0,0.0,,,,
2026-02-10,7:30 pm ET,Taelon Peter,Pacers,Knicks,0.0,0.0,0.0,0.0,,,,
2026-02-10,7:30 pm ET,Jordan Clarkson,Knicks,Pacers,0.0,0.0,0.0,0.0,,,,
2026-02-10,7:30 pm ET,Guerschon Yabusele,Knicks,Pacers,0.0,0.0,0.0,0.0,,,,
2026-02-10,7:30 pm ET,OG Anunoby,Knicks,Pacers,0.0,0.0,0.0,0.0,,,,
2026-02-10,7:30 pm ET,Ariel Hukporti,Knicks,Pacers,0.0,0.0,0.0,0.0,,,,
2026-02-10,7:30 pm ET,Kevin McCullar Jr.,Knicks,Pacers,0.0,0.0,0.0,0.0,,,,
2026-02-10,7:30 pm ET,Trey Jemison III,Knicks,Pacers,0.0,0.0,0.0,0.0,,,,
2026-02-10,7:30 pm ET,Tyler Kolek,Knicks,Pacers,0.0,0.0,0.0,0.0,,,,
2026-02-10,7:30 pm ET,Mohamed Diawara,Knicks,Pacers,0.0,0.0,0.0,0.0,,,,
2026-02-10,8:00 pm ET,Kawhi Leonard,Clippers,Rockets,28.11,5.97,4.95,39.02,,,,
2026-02-10,8:00 pm ET,Alperen Sengun,Rockets,Clippers,20.64,9.56,5.47,35.68,,,,
2026-02-10,8:00 pm ET,James Harden,Clippers,Rockets,22.17,5.25,7.74,35.16,,,,
2026-02-10,8:00 pm ET,Kevin Durant,Rockets,Clippers,24.02,4.66,3.77,32.45,,,,
2026-02-10,8:00 pm ET,Ivica Zubac,Clippers,Rockets,11.49,10.6,1.39,23.48,,,,
2026-02-10,8:00 pm ET,Jabari Smith Jr.,Rockets,Clippers,14.45,6.21,2.34,23.0,,,,
2026-02-10,8:00 pm ET,John Collins,Clippers,Rockets,14.46,5.65,1.7,21.82,,,,
2026-02-10,8:00 pm ET,Reed Sheppard,Rockets,Clippers,12.4,2.8,2.33,17.52,,,,
2026-02-10,8:00 pm ET,Jordan Miller,Clippers,Rockets,10.61,3.83,1.75,16.18,,,,
2026-02-10,8:00 pm ET,Kris Dunn,Clippers,Rockets,8.0,3.02,3.75,14.77,,,,
2026-02-10,8:00 pm ET,Kobe Sanders,Clippers,Rockets,8.4,3.1,2.06,13.56,,,,
2026-02-10,8:00 pm ET,Derrick Jones Jr.,Clippers,Rockets,8.84,3.26,1.37,13.48,,,,
2026-02-10,8:00 pm ET,Brook Lopez,Clippers,Rockets,8.51,3.14,1.43,13.09,,,,
2026-02-10,8:00 pm ET,Clint Capela,Rockets,Clippers,4.96,5.17,0.83,10.96,,,,
2026-02-10,8:00 pm ET,Josh Okogie,Rockets,Clippers,5.14,3.16,0.82,9.12,,,,
2026-02-10,8:00 pm ET,Dorian Finney-Smith,Rockets,Clippers,4.52,2.1,0.93,7.56,,,,
2026-02-10,8:00 pm ET,Nicolas Batum,Clippers,Rockets,3.71,2.6,0.87,7.18,,,,
2026-02-10,8:00 pm ET,Bogdan Bogdanovic,Clippers,Rockets,0.0,0.0,0.0,0.0,,,,
2026-02-10,8:00 pm ET,TyTy Washington Jr.,Clippers,Rockets,0.0,0.0,0.0,0.0,,,,
2026-02-10,8:00 pm ET,Kobe Brown,Clippers,Rockets,0.0,0.0,0.0,0.0,,,,
2026-02-10,8:00 pm ET,Cam Christie,Clippers,Rockets,0.0,0.0,0.0,0.0,,,,
2026-02-10,8:00 pm ET,Yanic Konan Niederhauser,Clippers,Rockets,0.0,0.0,0.0,0.0,,,,
2026-02-10,8:00 pm ET,Steven Adams,Rockets,Clippers,0.0,0.0,0.0,0.0,,,,
2026-02-10,8:00 pm ET,Aaron Holiday,Rockets,Clippers,0.0,0.0,0.0,0.0,,,,
2026-02-10,8:00 pm ET,Jae'Sean Tate,Rockets,Clippers,0.0,0.0,0.0,0.0,,,,
2026-02-10,8:00 pm ET,Tari Eason,Rockets,Clippers,0.0,0.0,0.0,0.0,,,,
2026-02-10,8:00 pm ET,JD Davison,Rockets,Clippers,0.0,0.0,0.0,0.0,,,,
2026-02-10,8:00 pm ET,Amen Thompson,Rockets,Clippers,0.0,0.0,0.0,0.0,,,,
2026-02-10,8:00 pm ET,Isaiah Crawford,Rockets,Clippers,0.0,0.0,0.0,0.0,,,,
2026-02-10,9:00 pm ET,Cooper Flagg,Mavericks,Suns,28.14,7.26,3.81,39.21,,,,
2026-02-10,9:00 pm ET,Devin Booker,Suns,Mavericks,24.26,3.78,5.87,33.91,,,,
2026-02-10,9:00 pm ET,Dillon Brooks,Suns,Mavericks,22.29,4.6,2.81,29.69,,,,
2026-02-10,9:00 pm ET,Naji Marshall,Mavericks,Suns,18.27,6.88,3.92,29.07,,,,
2026-02-10,9:00 pm ET,Grayson Allen,Suns,Mavericks,17.71,3.54,4.72,25.97,,,,
2026-02-10,9:00 pm ET,Collin Gillespie,Suns,Mavericks,15.22,3.84,4.46,23.53,,,,
2026-02-10,9:00 pm ET,Max Christie,Mavericks,Suns,16.29,3.61,2.81,22.71,,,,
2026-02-10,9:00 pm ET,Mark Williams,Suns,Mavericks,12.93,7.67,1.43,22.04,,,,
2026-02-10,9:00 pm ET,Royce O'Neale,Suns,Mavericks,11.43,4.02,2.88,18.33,,,,
2026-02-10,9:00 pm ET,Caleb Martin,Mavericks,Suns,8.26,5.31,2.89,16.46,,,,
2026-02-10,9:00 pm ET,Jordan Goodwin,Suns,Mavericks,8.86,4.82,2.31,15.99,,,,
2026-02-10,9:00 pm ET,Oso Ighodaro,Suns,Mavericks,5.99,5.15,1.85,12.99,,,,
2026-02-10,9:00 pm ET,Moussa Cisse,Mavericks,Suns,4.85,6.52,0.61,11.99,,,,
2026-02-10,9:00 pm ET,Ryan Nembhard,Mavericks,Suns,5.26,1.79,3.44,10.48,,,,
2026-02-10,9:00 pm ET,Dwight Powell,Mavericks,Suns,3.22,4.68,0.92,8.82,,,,
2026-02-10,9:00 pm ET,Ryan Dunn,Suns,Mavericks,4.64,2.35,0.9,7.89,,,,
2026-02-10,9:00 pm ET,Isaiah Livers,Suns,Mavericks,2.59,2.18,0.71,5.49,,,,
