Game_Date,RNN_Average_Dist_PTS,RNN_Average_Dist_REB,RNN_Average_Dist_AST,XGB_Average_Dist_PTS,XGB_Average_Dist_REB,XGB_Average_Dist_AST
2026-02-04,5.965394736842105,2.3927631578947373,1.3775657894736841,0.0,0.0,0.0
2026-02-07,6.866407766990291,2.5338349514563108,1.7536407766990292,0.0,0.0,0.0
2026-02-10,5.861379310344828,2.2872413793103448,1.349080459770115,0.0,0.0,0.0
2026-02-21,5.514666666666667,2.315,1.4224,0.0,0.0,0.0
2026-02-22,5.859883720930233,2.503139534883721,1.6330232558139535,0.0,0.0,0.0
2026-02-24,5.7722500000000005,2.667208333333334,1.463,0.0,0.0,0.0
2026-02-25,5.492361111111111,2.2193750000000003,1.5375694444444443,0.0,0.0,0.0
2026-02-26,5.130306122448981,1.954183673469388,1.3683673469387752,0.0,0.0,0.0
2026-03-03,4.958114754098362,2.0984426229508197,1.4872950819672133,5.042622950819672,2.0911475409836067,1.5274590163934425
2026-03-04,4.334745762711864,2.081694915254237,1.841186440677966,4.385593220338983,2.021864406779661,1.8367796610169493
