Name,Team,Opp,Game_Date,Game_Time,Proj_PTS,Proj_REB,Proj_AST,Total_PRA
Steven Adams,Rockets,Pelicans,2026-01-18,7:00 pm ET,7.33,8.51,2.06,17.9
Coby White,Bulls,Nets,2026-01-18,7:00 pm ET,11.27,3.45,2.95,17.66
Matas Buzelis,Bulls,Nets,2026-01-18,7:00 pm ET,12.09,3.7,1.83,17.62
Zach Collins,Bulls,Nets,2026-01-18,7:00 pm ET,10.06,5.3,1.92,17.29
Ryan Kalkbrenner,Nets,Bulls,2026-01-18,7:00 pm ET,8.75,6.84,1.64,17.23
Collin Sexton,Nets,Bulls,2026-01-18,7:00 pm ET,11.6,2.76,2.49,16.86
Reed Sheppard,Rockets,Pelicans,2026-01-18,7:00 pm ET,11.37,2.74,2.24,16.36
Jordan Poole,Pelicans,Rockets,2026-01-18,7:00 pm ET,11.37,1.93,2.12,15.42
Jalen Smith,Bulls,Nets,2026-01-18,7:00 pm ET,8.41,5.21,0.96,14.58
Kevin Huerter,Bulls,Nets,2026-01-18,7:00 pm ET,9.2,2.98,2.36,14.54
KJ Simpson,Nets,Bulls,2026-01-18,7:00 pm ET,8.92,3.08,2.26,14.26
PJ Hall,Nets,Bulls,2026-01-18,7:00 pm ET,7.8,5.32,1.08,14.21
Herbert Jones,Pelicans,Rockets,2026-01-18,7:00 pm ET,9.14,2.95,1.9,14.0
Ben Saraf,Nets,Bulls,2026-01-18,7:00 pm ET,8.75,2.28,2.83,13.86
Yves Missi,Pelicans,Rockets,2026-01-18,7:00 pm ET,6.8,5.3,1.32,13.42
Sion James,Nets,Bulls,2026-01-18,7:00 pm ET,6.42,3.95,2.55,12.92
Nolan Traore,Nets,Bulls,2026-01-18,7:00 pm ET,7.73,2.33,2.76,12.82
Isaac Okoro,Bulls,Nets,2026-01-18,7:00 pm ET,7.97,3.02,1.57,12.57
Danny Wolf,Nets,Bulls,2026-01-18,7:00 pm ET,6.51,4.46,1.04,12.01
Terance Mann,Nets,Bulls,2026-01-18,7:00 pm ET,5.42,3.3,3.19,11.91
Bryce McGowens,Pelicans,Rockets,2026-01-18,7:00 pm ET,8.07,2.11,1.61,11.79
Tyrese Martin,Nets,Bulls,2026-01-18,7:00 pm ET,7.27,2.7,1.68,11.65
Micah Peavy,Pelicans,Rockets,2026-01-18,7:00 pm ET,6.84,2.16,1.78,10.78
Jose Alvarado,Pelicans,Rockets,2026-01-18,7:00 pm ET,6.51,1.84,1.92,10.27
Drake Powell,Nets,Bulls,2026-01-18,7:00 pm ET,6.75,1.88,1.14,9.77
Patrick Williams,Bulls,Nets,2026-01-18,7:00 pm ET,5.44,2.89,1.42,9.75
Clint Capela,Rockets,Pelicans,2026-01-18,7:00 pm ET,4.72,4.17,0.86,9.75
Tre Mann,Nets,Bulls,2026-01-18,7:00 pm ET,5.14,2.69,1.51,9.34
Ziaire Williams,Nets,Bulls,2026-01-18,7:00 pm ET,5.66,2.37,1.06,9.1
Dorian Finney-Smith,Rockets,Pelicans,2026-01-18,7:00 pm ET,4.89,3.35,0.79,9.03
Josh Okogie,Rockets,Pelicans,2026-01-18,7:00 pm ET,4.06,3.23,1.08,8.37
Josh Green,Nets,Bulls,2026-01-18,7:00 pm ET,4.63,2.37,1.01,8.02
Karlo Matkovic,Pelicans,Rockets,2026-01-18,7:00 pm ET,4.54,2.58,0.89,8.01
Tidjane Salaun,Nets,Bulls,2026-01-18,7:00 pm ET,3.77,3.1,0.61,7.47
Jordan Hawkins,Pelicans,Rockets,2026-01-18,7:00 pm ET,3.98,2.28,0.72,6.97
Dalen Terry,Bulls,Nets,2026-01-18,7:00 pm ET,3.61,1.9,0.7,6.21
Emanuel Miller,Bulls,Nets,2026-01-18,7:00 pm ET,3.43,1.31,0.95,5.69
Jae'Sean Tate,Rockets,Pelicans,2026-01-18,7:00 pm ET,3.23,1.77,0.68,5.67
Julian Phillips,Bulls,Nets,2026-01-18,7:00 pm ET,3.38,1.67,0.53,5.57
Liam McNeeley,Nets,Bulls,2026-01-18,7:00 pm ET,2.9,1.79,0.69,5.38
Pat Connaughton,Nets,Bulls,2026-01-18,7:00 pm ET,2.98,1.5,0.63,5.11
Aaron Holiday,Rockets,Pelicans,2026-01-18,7:00 pm ET,2.95,1.2,0.69,4.84
Lachlan Olbrich,Bulls,Nets,2026-01-18,7:00 pm ET,2.32,1.56,0.51,4.39
Nikola Jokic,Nuggets,Hornets,2026-01-18,8:00 pm ET,26.61,9.49,9.04,45.14
Jamal Murray,Nuggets,Hornets,2026-01-18,8:00 pm ET,25.86,5.09,9.34,40.29
LaMelo Ball,Hornets,Nuggets,2026-01-18,8:00 pm ET,20.97,4.23,6.23,31.43
Peyton Watson,Nuggets,Hornets,2026-01-18,8:00 pm ET,21.27,6.08,3.83,31.17
Miles Bridges,Hornets,Nuggets,2026-01-18,8:00 pm ET,15.89,7.55,4.04,27.48
Brandon Miller,Hornets,Nuggets,2026-01-18,8:00 pm ET,18.27,4.16,3.15,25.59
Aaron Gordon,Nuggets,Hornets,2026-01-18,8:00 pm ET,15.75,5.74,2.82,24.31
Kon Knueppel,Hornets,Nuggets,2026-01-18,8:00 pm ET,14.46,4.83,3.47,22.76
Cameron Johnson,Nuggets,Hornets,2026-01-18,8:00 pm ET,13.48,4.51,2.81,20.8
Tim Hardaway Jr.,Nuggets,Hornets,2026-01-18,8:00 pm ET,13.77,3.39,2.2,19.36
Moussa Diabate,Hornets,Nuggets,2026-01-18,8:00 pm ET,7.59,8.35,2.2,18.15
Jalen Pickett,Nuggets,Hornets,2026-01-18,8:00 pm ET,10.55,4.31,3.03,17.89
Christian Braun,Nuggets,Hornets,2026-01-18,8:00 pm ET,10.06,4.13,2.5,16.69
Ryan Kalkbrenner,Hornets,Nuggets,2026-01-18,8:00 pm ET,8.15,6.4,1.52,16.08
Collin Sexton,Hornets,Nuggets,2026-01-18,8:00 pm ET,11.0,2.33,2.37,15.7
Zeke Nnaji,Nuggets,Hornets,2026-01-18,8:00 pm ET,8.04,3.97,1.57,13.59
KJ Simpson,Hornets,Nuggets,2026-01-18,8:00 pm ET,8.33,2.64,2.14,13.1
PJ Hall,Hornets,Nuggets,2026-01-18,8:00 pm ET,7.2,4.89,0.96,13.05
Sion James,Hornets,Nuggets,2026-01-18,8:00 pm ET,5.82,3.52,2.43,11.77
Spencer Jones,Nuggets,Hornets,2026-01-18,8:00 pm ET,6.64,3.28,1.24,11.16
Bruce Brown,Nuggets,Hornets,2026-01-18,8:00 pm ET,6.09,3.32,1.68,11.09
Jonas Valanciunas,Nuggets,Hornets,2026-01-18,8:00 pm ET,6.08,3.86,1.02,10.96
DaRon Holmes II,Nuggets,Hornets,2026-01-18,8:00 pm ET,5.42,2.09,1.99,9.51
Tre Mann,Hornets,Nuggets,2026-01-18,8:00 pm ET,4.54,2.26,1.39,8.19
Julian Strawther,Nuggets,Hornets,2026-01-18,8:00 pm ET,5.2,1.72,1.02,7.94
Josh Green,Hornets,Nuggets,2026-01-18,8:00 pm ET,4.04,1.93,0.89,6.86
